"#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/ 1M pop","Population","Continent"
"172","Niger","5,564","","194","","5,269","","101","2","222","8","124,604","4,962","25,110,036","Africa"
"173","Saint Lucia","5,462","","87","","5,243","","132","","29,604","472","57,038","309,151","184,499","North America"
"174","Liberia","5,306","","148","","2,652","","2,506","2","1,024","29","127,079","24,530","5,180,647","Africa"
"175","San Marino","5,094","","90","","5,002","","2","","149,801","2,647","69,114","2,032,466","34,005","Europe"
"176","Chad","4,964","","174","","4,777","","13","","294","10","129,094","7,633","16,912,766","Africa"
"177","Gibraltar","4,586","+28","94","","4,285","+7","207","2","136,160","2,791","294,717","8,750,245","33,681","Europe"
"178","Barbados","4,241","","48","","4,156","","37","","14,739","167","198,083","688,407","287,741","North America"
"179","Guinea-Bissau","4,034","","72","","3,678","","284","4","2,001","36","77,057","38,221","2,016,114","Africa"
"180","Comoros","4,009","","147","","3,819","","43","","4,511","165","","","888,774","Africa"
"181","Laos","3,295","+108","4","","2,174","","1,117","","446","0.5","305,013","41,302","7,385,020","Asia"
"182","Liechtenstein","3,061","","59","","2,989","","13","2","80,043","1,543","49,126","1,284,609","38,242","Europe"
"183","New Zealand","2,803","","26","","2,729","","48","","560","5","2,386,215","477,043","5,002,100","Australia/Oceania"
"184","Monaco","2,662","","33","","2,562","","67","5","67,340","835","54,960","1,390,301","39,531","Europe"
"185","Sint Maarten","2,659","","34","","2,595","","30","2","61,294","784","35,043","807,796","43,381","North America"
"186","Bermuda","2,530","","33","","2,482","","15","7","40,781","532","354,233","5,709,844","62,039","North America"
"187","Turks and Caicos","2,446","","18","","2,400","","28","","62,303","458","94,789","2,414,391","39,260","North America"
"188","Saint Martin","2,433","","38","","1,399","","996","7","61,831","966","43,501","1,105,517","39,349","North America"
"189","Bhutan","2,411","+13","2","","2,038","","371","","3,089","3","798,573","1,023,255","780,424","Asia"
